Date,Predicted_Price
2025-01-01,188.83213176060173
2025-01-02,188.79122516931847
2025-01-03,188.75031857803518
2025-01-06,188.7094119867519
2025-01-07,188.6685053954686
2025-01-08,188.62759880418534
2025-01-09,188.58669221290205
2025-01-10,188.54578562161876
2025-01-13,188.50487903033547
2025-01-14,188.4639724390522
2025-01-15,188.42306584776892
2025-01-16,188.38215925648564
2025-01-17,188.34125266520238
2025-01-20,188.3003460739191
2025-01-21,188.2594394826358
2025-01-22,188.2185328913525
2025-01-23,188.17762630006925
2025-01-24,188.13671970878596
2025-01-27,188.09581311750267
2025-01-28,188.05490652621938
2025-01-29,188.01399993493612
2025-01-30,187.97309334365283
2025-01-31,187.93218675236955
